id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
2,Abílio Sousa e Silva,Nome Completo,PSD,False,,Data de Nascimento,FUNCIONARIO PUBLICO,MEMBRO DO CONSELHO DE JURISDIÇAO,VEREADOR SUBSTITUTO; VOGAL; TECNICO SUPERIOR PRINCIPAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2,2014-11-18T23:03:45.692478
3,Adão Silva,Nome Completo,PSD,True,Licenciatura em Línguas e Literaturas Modernas - Estudos Portugueses e Franceses,Data de Nascimento,Professor,Deputado na XI Legislatura;; Presidente da Comissão Política Distrital do PSD-Bragança;,"Director do Centro de Reabilitação Profissional de Macedo de Cavaleiros; Secretário de Estado Adjunto do Ministro do Saúde.; Deputado na  V, VI, VIII, IX e X Legislaturas; Presidente da Assembleia Municipal-Macedo de Cavaleiros; Professor efectivo no ensino secundário; Coordenador de Projectos de Intervenção Comunitária",Comissão de Saúde [Suplente]; Comissão de Segurança Social e Trabalho,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,2014-11-18T23:03:45.821257
4,Adérito Campos,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,PRESIDENTE; DEPUTADO; DEPUTADO MUNICIPAL; PRESIDENTE,"DEPUTADO - I, II, III, IV, E V LEGISLATURAS; DEPUTADO MUNICIPAL; VOGAL; PRESIDENTE; VOGAL; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,2014-11-18T23:03:45.947783
5,Adriano Pinto,Nome Completo,PSD,False,,Data de Nascimento,SOLICITADOR,MEMBRO; PRESIDENTE DA ASSEMBLEIA GERAL; PRESIDENTE; DEPUTADO; MEMBRO; PRESIDENTE DA COMISSAO POLITICA CONCELHIA; MEMBRO,"VICE-PRESIDENTE; MEMBRO; PRESIDENTE; MEMBRO; PRESIDENTE; VICE-PRESIDENTE; PRESIDENTE; SECRETARIO ADJUNTO; PRESIDENTE; DEPUTADO - III, IV, E V LEGISLATURAS",,,"PRESIDENTE HONORÁRIO DO RAMALDENSE F. CLUB; MEDALHA DE BONS SERVIÇOS DESPORTIVOS; CIDADÃO HONORÁRIO DA CIDADE DO PORTO; PRESIDENTE HONORÁRIO DA A.F. PORTO; SOCIO DE MÉRITO DA A.F. PORTO; SOCIO HONORÁRIO DO SPORT COMERCIO E SALGUEIROS; GALARDOADO ""DRAGÃO DE HONRA DO F.C. PORTO; MEDALHA DE OURO AO MÉRITO DA F. P. FUTEBOL",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,2014-11-18T23:03:46.077650
6,Cerqueira de Oliveira,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SECUNDARIO,VEREADOR; COORDENADOR DISTRITAL; VICE-PRESIDENTE; SECRETARIO NACIONAL; SECRETARIO COORDENADOR,DEPUTADO - V LEGISLATURA; PROFESSOR; DIRECTOR; COORDENADOR; COORDENADOR DISTRITAL,,,LOUVOR DA DIRECÇÃO-GERAL DE EDUCAÇÃO DE ADULTOS,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,2014-11-18T23:03:46.198232
7,Alberto Araujo,Nome Completo,PSD,False,,Data de Nascimento,PERITO DE FISCALIZAÇÃO TRIBUTÁRIA DA D.G.C.I.,PRESIDENTE; LIDER; VICE-SECRETARIO; MEMBRO,PRESIDENTE; PRESIDENTE; VEREADOR; VICE-PRESIDENTE; PRESIDENTE; PRESIDENTE; DEPUTADO - IV E V LEGISLATURAS; SECRETARIO; PRESIDENTE; SECRETARIO; MEMBRO; MEMBRO; MEMBRO; COORDENADOR; MEMBRO; MEMBRO,,,UMA NO ULTRAMAR,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,2014-11-18T23:03:46.324549
8,Álvaro Viegas,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,MEMBRO; PRESIDENTE; VICE-PRESIDENTE,DEPUTADO - V LEGISLATURA; PRESIDENTE; COLABORADOR; MEMBRO; PRESIDENTE; VOGAL; MEMBRO; COLABORADOR; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,2014-11-18T23:03:46.446233
9,Álvaro Barreto,Nome Completo,PSD,False,,Data de Nascimento,GESTOR DE EMPRESAS,PRESIDENTE DO CONSELHO DE ADMINISTRAÇAO; VICE-PRESIDENTE DO CONSELHO DE ADMINISTRAÇAO; ADMINISTRADOR,DEPUTADO - II LEGISLATURA; MINISTRO; MINISTRO; MINISTRO; MINISTRO; MINISTRO; DEPUTADO -IV E V LEGISLATURAS,,,COMENDADOR DA ORDEM DE MÉRITO INDUSTRIAL-PORTUGAL; GRANDE CRUZ DA ORDEM DO FALCÃO - ISLANDIA; GRANDE CRUZ DA ORDEM DE LEOPOLDO II- BELGICA; CAVALEIRO DA GRAM CRUZ- ITALIA; CRUZ DE STº OLAVO - NORUEGA,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,2014-11-18T23:03:46.573828
10,Ana Paula Barros,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADA,MEMBRO; MEMBRO; PRESIDENTE,MEMBRO; PRESIDENTE; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=10,2014-11-18T23:03:46.690506
11,Branco Malveiro,Nome Completo,PSD,False,,Data de Nascimento,PRESIDENTE DO CONSELHO DIRECTIVO DO C.R.S.S.- BEJA,PRESIDENTE; PRESIDENTE,MEMBRO; GOVERNADOR CIVIL; DEPUTADO - IV LEGISLATURA,,,MEDALHA DAS CAMPANHAS DE AFRICA; LOUVORES DE AMBITO MILITAR E CIVIL,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=11,2014-11-18T23:03:46.849898
